# Date	PAR	Temp_Sea	Temp_Deap	pco2whigh
2013-03-08 00:00:00	0.0	0.9	6.16	385.6
2013-03-08 01:00:00	0.0	0.82	6.11	394.49	
2013-03-08 02:00:00	0.0	0.8	6.06	403.38	
2013-03-08 03:00:00	0.0	0.66	6.14	412.27	
2013-03-08 04:00:00	0.0	-1.45	6.11	421.16	
2013-03-08 05:00:00	0.0	-3.69	6.14	430.05	
2013-03-08 06:00:00	0.0	-3.52	6.17	438.94	
2013-03-08 07:00:00	33.78	-3.36	6.16	447.84	
2013-03-08 08:00:00	228.59	-2.8	6.15	456.73	
2013-03-08 09:00:00	471.64	-1.86	6.16	465.62	
2013-03-08 10:00:00	656.47	-0.94	6.13	474.51	
2013-03-08 11:00:00	719.46	-0.77	6.11	483.4	
2013-03-08 12:00:00	737.13	0.54	6.21	492.29	
2013-03-08 13:00:00	757.94	0.76	6.2	501.18	
2013-03-08 14:00:00	687.2	0.91	6.15	510.07	
2013-03-08 15:00:00	518.25	0.97	6.11	518.96	
2013-03-08 16:00:00	264.17	0.4	6.08	527.85	
2013-03-08 17:00:00	42.85	-1.18	6.1	536.74	
2013-03-08 18:00:00	0.0	-1.55	6.1	545.63	
2013-03-08 19:00:00	0.0	-1.61	6.19	554.52	
2013-03-08 20:00:00	0.0	-1.59	6.26	563.41	
2013-03-08 21:00:00	0.0	-1.65	6.29	572.31	
2013-03-08 22:00:00	0.0	-1.97	6.21	581.2
2013-03-08 23:00:00	0.0	-0.9	6.09	590.09	
2013-03-09 00:00:00	0.0	0.52	6.11	598.98	
2013-03-09 01:00:00	0.0	0.46	6.14	607.87	
2013-03-09 02:00:00	0.0	0.42	6.22	616.76	
2013-03-09 03:00:00	0.0	0.41	6.26	625.65	
2013-03-09 04:00:00	0.0	0	6.26	634.54	
2013-03-09 05:00:00	0.0	-3.11	6.26	643.43	
2013-03-09 06:00:00	0.0	-4.23	6.21	652.32	
2013-03-09 07:00:00	32.03	-4.21	6.3	661.21
2013-03-09 08:00:00	238.18	-3.93	6.37	670.1	
2013-03-09 09:00:00	470.52	-3.41	6.36	678.99	
2013-03-09 10:00:00	660.99	-2.78	6.35	687.89	
2013-03-09 11:00:00	788.48	-2.19	6.41	696.78	
2013-03-09 12:00:00	772.49	-1.33	6.36	705.67	
2013-03-09 13:00:00	745.74	0.25	6.22	714.56	
2013-03-09 14:00:00	691.24	0.64	6.27	723.45	
2013-03-09 15:00:00	509.54	0.7	6.37	732.34	
2013-03-09 16:00:00	280.84	0.51	6.35	741.23	
2013-03-09 17:00:00	60.64	-0.47	6.39	750.12	
2013-03-09 18:00:00	0.0	-2.85	6.6	759.01	
2013-03-09 19:00:00	0.0	-3.65	6.58	767.9	
2013-03-09 20:00:00	0.0	-3.91	6.55	776.79	
2013-03-09 21:00:00	0.0	-3.93	6.47	785.68	
2013-03-09 22:00:00	0.0	-3.83	6.59	794.57	
2013-03-09 23:00:00	0.0	-3.4	6.67	803.47	
2013-03-10 00:00:00	0.0	-1.52	6.71	812.21	
2013-03-10 01:00:00	0.0	-0.23	6.67	812.49	
2013-03-10 02:00:00	0.0	0.04	6.62	812.78	
2013-03-10 03:00:00	0.0	0	6.55	813.07	
2013-03-10 04:00:00	0.0	-0.12	6.65	813.36	
2013-03-10 05:00:00	0.0	-1.7	6.68	813.65	
2013-03-10 06:00:00	0.0	-5.12	6.69	813.94	
2013-03-10 07:00:00	38.98	-5.82	6.67	814.22	
2013-03-10 08:00:00	255.67	-5.65	6.63	814.51	
2013-03-10 09:00:00	481.69	-5.41	6.66	814.8	
2013-03-10 10:00:00	677.55	-4.75	6.59	815.09	
2013-03-10 11:00:00	831.71	-3.03	6.56	815.38	
2013-03-10 12:00:00	901.42	-1.38	6.56	815.67	
2013-03-10 13:00:00	435.54	-0.38	6.54	815.95	
2013-03-10 14:00:00	592.25	0.59	6.63	816.24	
2013-03-10 15:00:00	480.95	0.73	6.81	816.53	
2013-03-10 16:00:00	301.92	0.69	6.7	816.82	
2013-03-10 17:00:00	50.17	0.38	6.73	817.11	
2013-03-10 18:00:00	0.0	-1.22	6.71	817.4	
2013-03-10 19:00:00	0.0	-2.88	6.75	817.69	
2013-03-10 20:00:00	0.0	-5.14	6.84	817.97	
2013-03-10 21:00:00	0.0	-5.34	6.65	818.26	
2013-03-10 22:00:00	0.0	-5.97	6.48	818.55	
2013-03-10 23:00:00	0.0	-5.6	6.4	818.84	
2013-03-11 00:00:00	0.0	-1.77	6.4	819.13	
2013-03-11 01:00:00	0.0	0.2	6.39	819.42	
2013-03-11 02:00:00	0.0	0.4	6.4	819.7	
2013-03-11 03:00:00	0.0	0.35	6.45	819.99	
2013-03-11 04:00:00	0.0	0.3	6.46	820.28	
2013-03-11 05:00:00	0.0	-0.74	6.42	820.57	
2013-03-11 06:00:00	0.0	-7.52	6.4	820.86	
2013-03-11 07:00:00	47.59	-8.13	6.37	821.1	
2013-03-11 08:00:00	265.72	-7.15	6.41	821.44	
2013-03-11 09:00:00	496.15	-6.36	6.44	821.72	
2013-03-11 10:00:00	686.45	-5.94	6.4	822.1	
2013-03-11 11:00:00	813.05	-5.44	6.4	822.3	
2013-03-11 12:00:00	858.7	-4.86	6.44	822.59	
2013-03-11 13:00:00	816	-3.62	6.37	822.88	
2013-03-11 14:00:00	708.05	-1.07	6.2	823.17	
2013-03-11 15:00:00	526.57	0.61	6.12	823.45	
2013-03-11 16:00:00	310.8	0.62	6.22	823.74	
2013-03-11 17:00:00	73.78	0.44	6.43	824.03	
2013-03-11 18:00:00	0.0	-1.78	6.46	824.32	
2013-03-11 19:00:00	0.0	-2.93	6.38	824.61	
2013-03-11 20:00:00	0.0	-3.85	6.31	824.9	
2013-03-11 21:00:00	0.0	-4.25	6.42	825.18	
2013-03-11 22:00:00	0.0	-4.6	6.64	825.47	
2013-03-11 23:00:00	0.0	-4.68	6.61	825.76	
2013-03-12 00:00:00	0.0	-4.28	6.57	826.14	
2013-03-12 01:00:00	0.0	-0.45	6.61	828.96	
2013-03-12 02:00:00	0.0	0.15	6.63	831.78	
2013-03-12 03:00:00	0.0	0.26	6.53	834.6	
2013-03-12 04:00:00	0.0	0.2	6.34	837.42	
2013-03-12 05:00:00	0.0	0.24	6.38	840.25	
2013-03-12 06:00:00	0.0	0.3	6.38	843.07	
2013-03-12 07:00:00	65.16	0.26	6.39	845.89	
2013-03-12 08:00:00	230.56	-0.41	6.49	848.71	
2013-03-12 09:00:00	490.34	-0.64	6.64	851.53	
2013-03-12 10:00:00	619.84	-0.4	6.63	854.35	
2013-03-12 11:00:00	678.76	-0.32	6.43	857.17	
2013-03-12 12:00:00	873.48	-0.03	6.32	860.0
2013-03-12 13:00:00	837.4	0.53	6.28	862.82	
2013-03-12 14:00:00	739.06	0.67	6.24	865.64	
2013-03-12 15:00:00	593.94	0.7	6.21	868.46	
2013-03-12 16:00:00	355.22	0.67	6.13	871.28	
2013-03-12 17:00:00	80.38	0.56	6.06	874.1	
2013-03-12 18:00:00	0.0	0.48	6.16	876.93	
2013-03-12 19:00:00	0.0	0.43	6.32	879.75	
2013-03-12 20:00:00	0.0	0.39	6.26	882.57	
2013-03-12 21:00:00	0.0	-0.1	6.23	885.39	
2013-03-12 22:00:00	0.0	-0.99	6.24	888.21	
2013-03-12 23:00:00	0.0	-1.98	6.32	891.03	
2013-03-13 00:00:00	0.0	0.09	6.42	893.85	
2013-03-13 01:00:00	0.0	0.45	6.4	896.68	
2013-03-13 02:00:00	0.0	0.4	6.26	899.5	
2013-03-13 03:00:00	0.0	0.33	6.22	902.32	
2013-03-13 04:00:00	0.0	0.31	6.32	905.14	
2013-03-13 05:00:00	0.0	0.24	6.34	907.96	
2013-03-13 06:00:00	0.0	0.29	6.28	910.78	
2013-03-13 07:00:00	30.41	0.25	6.3	913.6	
2013-03-13 08:00:00	170.67	0.2	6.3	916.43	
2013-03-13 09:00:00	160.66	0.1	6.36	919.25	
2013-03-13 10:00:00	479.68	-0.05	6.37	922.07	
2013-03-13 11:00:00	385.13	-0.42	6.44	924.89	
2013-03-13 12:00:00	286.61	-0.17	6.47	927.71	
2013-03-13 13:00:00	275	0.22	6.45	930.53	
2013-03-13 14:00:00	253.32	0.3	6.36	933.35	
2013-03-13 15:00:00	193.92	0.3	6.34	936.18	
2013-03-13 16:00:00	169.14	0.3	6.3	939.0	
2013-03-13 17:00:00	48.55	0.3	6.28	941.82	
2013-03-13 18:00:00	0.0	0.25	6.25	944.64	
2013-03-13 19:00:00	0.0	0.16	6.2	947.46
2013-03-13 20:00:00	0.0	0.06	6.24	950.28
2013-03-13 21:00:00	0.0	-0.02	6.26	953.1
2013-03-13 22:00:00	0.0	-0.77	6.21	955.93
2013-03-13 23:00:00	0.0	-1.51	6.2	958.75
2013-03-14 00:00:00	0.0	-1.42	6.22	961.34
2013-03-14 01:00:00	0.0	-0.59	6.23	959.73
2013-03-14 02:00:00	0.0	-0.52	6.22	958.12
2013-03-14 03:00:00	0.0	-0.51	6.14	956.51
2013-03-14 04:00:00	0.0	-0.59	6.13	954.9
2013-03-14 05:00:00	0.0	-0.65	6.15	953.29
2013-03-14 06:00:00	0.0	-0.71	6.12	951.68
2013-03-14 07:00:00	65.92	-0.76	6.11	950.08
2013-03-14 08:00:00	304.92	-0.89	6.11	948.47
2013-03-14 09:00:00	537.92	-1.66	6.12	946.86
2013-03-14 10:00:00	724.65	-3.56	6.13	945.25
2013-03-14 11:00:00	851.69	-5.09	6.14	943.64
2013-03-14 12:00:00	899.35	-5.03	6.07	942.03
2013-03-14 13:00:00	858.59	-4.43	5.98	940.42
2013-03-14 14:00:00	754.12	-2.35	5.95	938.82
