#Date           PAR             low_pco2_T      low_pco2	
2013-03-08 00:00:00	213.228333333    2.72	        370.728		
2013-03-10 00:00:00	210.327083333    1.42	        352.564		
2013-03-12 00:00:00	231.839166667    1.42	        360.624		
2013-03-14 00:00:00	250.437916667    2.62	        377.512		
2013-03-16 00:00:00	215.493333333    1.48	        363.116		
2013-03-18 00:00:00	233.9075         0.5	        347.232		
2013-03-20 00:00:00	113.014583333    1.34	        363.034		
2013-03-22 00:00:00	223.465416667    2.8	        382.626		
2013-03-24 00:00:00	304.782083333    2.1	        374.58		
2013-03-26 00:00:00	285.57375        2.2	        370.856		
2013-03-28 00:00:00	323.438333333    2.32	   	364.664		
2013-03-30 00:00:00	279.735833333    2.7	   	363.506		
2013-04-01 00:00:00	351.045416667    3.34	   	365.23		
2013-04-03 00:00:00	367.61125        4.02	   	366.406		
2013-04-05 00:00:00	363.594583333    4.34	   	345.966		
2013-04-07 00:00:00	391.722083333    4.2	   	319.004		
2013-04-09 00:00:00	349.8475         4.7	   	292.894		
2013-04-11 00:00:00	99.195           4.34	   	282.058		
2013-04-13 00:00:00	201.694583333    3.9	   	273.082		
2013-04-15 00:00:00	170.502083333    3.9	   	278.492		
2013-04-17 00:00:00	365.385          4.22	   	283.76		
2013-04-19 00:00:00	236.45           4.66	   	303.316		
2013-04-21 00:00:00	390.639166667    5.4	   	314.806		
2013-04-23 00:00:00	456.97125        5.4	   	316.444		
2013-04-25 00:00:00	393.8675         5.9	   	322.71		
2013-04-27 00:00:00	365.365416667    6.12	   	332.946		
2013-04-29 00:00:00	243.66625        6.6	   	342.552		
2013-05-01 00:00:00	502.2825         6.9	   	349.36		
2013-05-03 00:00:00	416.568333333    6.82	   	348.874		
2013-05-05 00:00:00	460.265416667    7.64	   	358.816		
2013-05-07 00:00:00	528.854166667    7.66	   	357.056		
2013-05-09 00:00:00	216.710416667    7.72	   	365.454		
2013-05-11 00:00:00	304.828333333    8.5	   	371.756		
2013-05-13 00:00:00	162.3925         8.12	   	371.326		
2013-05-15 00:00:00	248.291666667    8.18	   	386.49		
2013-05-17 00:00:00	364.015416667    9.32	   	399.878		
2013-05-19 00:00:00	390.210833333    10.1	   	424.468		
2013-05-21 00:00:00	264.435          10.32	   	422.412		
2013-05-23 00:00:00	449.587916667    11.3	   	444.912		
2013-05-25 00:00:00	452.641666667    9.74	   	417.344		
2013-05-27 00:00:00	387.459166667    8.56	   	398.172		
2013-05-29 00:00:00	235.870416667    10.02	   	412.98		
2013-05-31 00:00:00	604.6175         11.1	   	430.414		
2013-06-02 00:00:00	343.379166667    11.58	   	436.71		
2013-06-04 00:00:00	613.996666667    9.68	   	399.648		
2013-06-06 00:00:00	570.681666667    9.08	   	392.13		
2013-06-08 00:00:00	554.379583333    11.5	   	429.116		
2013-06-10 00:00:00	636.138333333    13.28	   	455.04		
2013-06-12 00:00:00	260.0825         13.1	   	451.812		
2013-06-14 00:00:00	452.502916667    14.26	   	463.956		
2013-06-16 00:00:00	372.242083333    14.98	   	472.222		
2013-06-18 00:00:00	465.78           15.4	   	488.792		
2013-06-20 00:00:00	390.91375        15.4	   	489.088		
2013-06-22 00:00:00	234.730833333    15.6	   	493.734		
2013-06-24 00:00:00	358.45125        16.0	   	508.22		
2013-06-26 00:00:00	85.6475          14.52	   	500.268		
2013-06-28 00:00:00	467.588333333    14.52	   	502.186		
